Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	AL1	BA1	CT1	GL1	JE1	JH1	KM1	KS1	RZ1	SM1	TA1
1	SS	22.4	18.97678	0.49803	a	0.37245	37.16	4.01	0	0	0	0	0	0	0	0	0	0	0
2	SS	19.9	18.23883	0.50223	a	0.2849	37.16	6.18	0	1	0	1	0	1	0	0	0	0	0
3	SS	29.2	20.62994	0.48114	a	0.6647	37.66	8.9	0	0	0	0	0	0	0	0	0	0	0
4	SS	14.1	16.09032	0.49598	c	0.12461	37.26	13.71	0	1	1	1	1	1	1	0	0	1	0
5	SS	16.8	17.18285	0.50322	c	0.19167	37.26	14.1	0	1	1	1	1	1	1	0	0	1	0
6	SS	25.7	19.83377	0.49038	a	0.50453	37.16	21.08	0	0	0	0	0	0	0	0	0	0	0
7	SS	20.7	18.48461	0.50111	b	0.31173	37.26	23.3	0	1	0	0	0	0	0	0	0	0	1
8	SS	11.4	14.76483	0.47129	b	0.07103	37.26	25.75	1	1	1	1	1	1	1	1	0	0	1
9	SS	10.7	14.36967	0.45951	a	0.05937	37.36	27.85	0	0	0	0	0	0	0	0	1	0	0
10	SS	30.4	20.88108	0.47787	b	0.72427	37.36	30.38	0	0	0	1	0	0	1	0	0	0	0
11	SS	14.9	16.43445	0.49934	b	0.14309	37.46	32.45	1	1	1	1	1	1	0	1	1	1	1
12	SS	19.9	18.23883	0.50223	b	0.2849	37.46	34.71	0	0	0	0	0	0	0	0	0	0	1
13	SS	21.6	18.75	0.49959	a	0.34325	37.56	37.03	0	0	0	0	0	0	0	0	0	0	0
14	SS	8	12.55628	0.36861	c	0.02326	37.66	37.8	1	0	1	1	1	1	1	0	1	0	1
15	SS	22.6	19.03221	0.49762	a	0.37992	35.09	36.86	0	0	0	0	0	0	0	0	0	0	0
16	SS	20.6	18.45441	0.50127	b	0.30831	35.09	34.56	0	0	0	0	0	1	1	0	0	0	0
17	SS	21.9	18.83601	0.49902	c	0.35407	35.09	0.75	0	0	0	0	1	0	0	0	0	0	0
18	SS	19.2	18.01553	0.50298	c	0.26235	35.19	0.97	0	0	0	0	1	0	0	0	0	1	1
19	SS	25.4	19.76055	0.49113	b	0.49176	34.69	5.76	0	0	0	0	0	0	0	0	0	0	0
20	SS	26	19.90614	0.48961	b	0.51746	34.49	8.25	0	0	0	0	0	0	0	0	0	0	0
21	SS	22.9	19.11444	0.49699	a	0.39126	35.09	11.96	0	0	0	0	0	0	0	0	0	0	0
22	SS	29.2	20.62994	0.48114	a	0.6647	34.09	14.68	0	0	0	0	0	0	0	0	0	0	0
23	SS	25.2	19.71125	0.49163	a	0.48333	35.29	16.53	0	0	0	0	0	0	0	0	0	0	0
24	SS	24.1	19.43294	0.49429	c	0.43817	33.89	16.86	0	0	0	1	1	1	0	0	0	0	1
