Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	BB	BR	DC	HJ	JH	JW	LC	LD	RA	RK	WS
2	NS	12.5	11.0	0.500	A	0.068	3.500	2.370	0	1	0	0	1	0	0	1	1	0	0
3	NS	18.6	12.5	0.480	A	0.163	3.388	4.410	0	0	0	0	0	0	0	0	0	0	0
4	NS	7.0	8.8	0.531	B	0.018	3.379	6.100	1	1	1	1	1	1	1	1	1	1	1
5	NS	10.6	10.4	0.508	B	0.046	3.370	7.800	0	1	0	1	1	1	1	1	0	1	0
6	BI	5.6	10.8	0.534	A	0.014	4.512	9.190	1	0	0	1	1	1	1	1	0	0	1
7	NS	14.3	11.5	0.494	A	0.091	3.060	9.600	0	0	0	0	0	0	0	1	0	0	0
8	NS	16.0	11.9	0.488	C	0.117	3.238	13.460	0	1	1	1	1	0	1	0	1	1	1
9	NS	11.4	10.6	0.505	A	0.055	3.030	15.080	0	0	0	0	0	0	0	1	0	0	0
10	NS	9.7	10.0	0.513	B	0.038	3.070	16.770	0	1	1	1	1	1	1	1	1	1	1
11	NS	9.1	9.8	0.516	B	0.033	2.813	18.160	0	1	1	1	0	0	1	1	0	1	0
12	NS	13.7	11.3	0.496	C	0.083	3.209	18.850	1	0	1	0	1	0	0	1	1	1	0
13	NS	15.2	11.7	0.491	C	0.105	3.288	22.700	0	0	0	1	1	0	0	0	0	0	0
14	NS	6.7	8.6	0.534	A	0.016	3.077	24.600	0	1	1	1	1	1	1	1	1	1	1
15	NS	15.8	11.9	0.489	A	0.114	3.267	26.440	0	0	0	0	0	0	0	0	0	0	0
16	NS	8.5	9.5	0.520	B	0.028	3.258	28.100	1	1	1	1	1	1	1	1	1	1	1
17	NS	16.5	12.1	0.486	B	0.125	3.036	32.100	0	0	0	0	0	0	0	0	0	0	0
18	NS	11.2	10.6	0.506	C	0.053	2.934	32.440	1	1	1	0	1	1	1	0	1	1	0
19	NS	7.3	8.9	0.528	B	0.020	5.370	36.260	1	1	1	1	1	1	1	1	1	1	1
20	NS	14.6	11.6	0.493	B	0.096	5.228	35.940	0	0	0	0	0	0	0	0	0	0	0
21	NS	14.1	11.5	0.495	A	0.088	5.174	34.100	0	0	0	0	0	0	0	0	1	0	0
22	NS	13.9	11.4	0.495	C	0.086	5.226	32.030	0	0	1	0	0	0	0	0	0	0	0
23	NS	9.8	10.1	0.512	A	0.039	5.280	29.900	1	1	1	0	1	1	1	1	1	1	1
24	NS	18.3	12.5	0.481	B	0.158	5.422	28.220	0	0	0	0	0	0	0	0	0	0	0
25	NS	10.6	10.4	0.508	B	0.046	5.370	26.310	0	0	0	0	0	0	1	1	1	0	0
26	NS	9.4	9.9	0.514	B	0.035	5.559	22.800	0	1	0	1	1	0	1	0	0	1	1
27	NS	8.2	9.4	0.522	B	0.026	5.564	22.600	1	1	1	1	1	1	1	1	0	1	1
28	NS	20.0	12.8	0.475	B	0.191	5.701	21.100	0	0	0	0	0	0	0	0	1	0	0
30	NS	16.0	11.9	0.488	A	0.117	5.647	15.320	0	0	0	0	0	0	0	0	0	0	0
31	NS	10.5	10.3	0.509	A	0.045	5.697	13.340	0	1	1	0	0	0	1	1	0	0	0
32	BI	6.3	9.8	0.515	C	0.016	5.511	10.770	0	0	1	1	1	0	1	0	1	1	1
33	BI	7.9	10.3	0.497	C	0.025	5.463	10.700	1	1	1	1	1	0	1	0	0	1	1
34	NS	14.8	11.6	0.492	C	0.099	5.795	9.450	0	0	1	0	1	0	1	0	1	1	1
35	NS	17.0	12.2	0.485	C	0.134	5.846	7.400	0	0	0	0	1	0	0	0	0	0	0
36	NS	14.3	11.5	0.494	A	0.091	5.993	5.540	0	0	0	0	0	0	0	0	0	0	0
37	NS	8.9	9.7	0.517	C	0.031	6.284	1.920	1	1	1	1	1	1	1	1	1	1	1
38	BI	9.6	11.2	0.484	C	0.039	6.089	1.730	0	0	1	1	1	0	1	1	1	1	1
39	NS	15.0	11.7	0.491	A	0.102	7.994	1.540	0	0	0	0	0	0	0	0	0	0	0
40	BI	6.6	10.5	0.514	A	0.018	8.351	3.270	0	0	0	0	1	0	1	1	0	0	1
41	NS	11.6	10.7	0.504	A	0.057	7.956	3.070	0	0	0	0	0	0	1	1	0	0	0
42	NS	12.8	11.1	0.499	A	0.071	7.968	6.640	0	0	0	0	0	0	0	0	0	0	0
43	NS	13.2	11.2	0.498	B	0.076	7.538	7.840	0	1	0	0	0	0	0	0	1	0	0
44	NS	5.2	7.6	0.555	A	0.009	7.697	9.490	1	1	1	1	1	1	1	1	1	1	1
45	NS	5.8	8.0	0.545	B	0.012	7.649	11.410	1	1	1	1	1	0	1	1	1	1	1
46	NS	9.2	9.8	0.515	B	0.034	7.745	11.560	0	0	0	0	0	0	1	1	1	0	0
47	NS	8.2	9.4	0.522	B	0.026	7.690	13.780	1	1	1	1	1	1	1	1	1	1	1
48	NS	14.8	11.6	0.492	B	0.099	7.687	13.920	0	0	0	1	0	0	0	0	0	0	0
49	NS	10.7	10.4	0.508	C	0.047	7.639	15.860	1	1	1	0	1	1	1	1	1	1	1
50	NS	12.4	11.0	0.501	A	0.066	7.602	17.340	0	0	0	0	0	0	0	1	0	0	0
51	NS	7.5	9.0	0.527	C	0.021	7.730	20.250	1	1	1	0	1	1	1	1	1	1	1
53	NS	9.3	9.9	0.515	B	0.034	7.791	21.820	1	1	1	1	1	0	1	0	1	1	1
54	NS	5.9	8.1	0.543	A	0.012	7.473	22.550	1	1	1	1	1	0	1	0	1	1	1
55	NS	23.7	13.5	0.463	A	0.275	7.440	23.880	0	0	0	0	0	0	0	0	0	0	0
56	NS	13.0	11.1	0.499	C	0.074	7.383	26.170	0	0	0	1	1	1	1	0	1	1	0
57	NS	14.5	11.6	0.493	B	0.094	7.348	27.580	1	1	0	0	1	0	0	1	0	0	0
58	NS	11.0	10.5	0.507	B	0.051	7.339	27.920	0	0	1	1	1	1	1	1	1	1	1
60	NS	15.0	11.7	0.491	A	0.102	7.230	32.320	0	0	0	0	0	0	0	0	0	0	0
61	BI	8.9	11.0	0.490	A	0.034	8.431	32.280	0	0	1	0	1	0	1	1	0	1	0
62	BI	5.2	6.8	0.521	B	0.008	6.699	33.580	0	0	1	1	0	0	1	1	0	1	0
63	NS	6.7	8.6	0.534	A	0.016	7.683	34.230	0	0	1	1	1	1	1	1	0	1	1
64	NS	20.3	12.9	0.474	B	0.197	9.562	32.650	0	1	0	0	0	0	0	0	0	0	0
65	BI	6.9	9.5	0.505	A	0.018	9.806	29.780	0	0	1	0	0	0	1	1	0	1	1
66	NS	18.7	12.5	0.479	A	0.165	9.624	28.580	0	0	0	0	0	0	0	0	0	0	0
67	NS	6.0	8.2	0.542	C	0.013	9.667	25.750	1	1	1	1	1	0	1	1	1	1	1
68	BI	9.8	10.6	0.481	A	0.038	10.071	25.510	0	0	1	1	0	0	1	1	1	0	1
69	NS	7.9	9.2	0.524	B	0.024	9.689	24.310	1	1	1	1	1	1	0	1	1	1	1
70	NS	12.4	11.0	0.501	A	0.066	9.721	22.190	0	0	0	0	0	0	0	0	0	0	0
71	NS	21.4	13.1	0.471	A	0.221	9.752	20.170	0	0	0	0	0	0	0	0	0	0	0
72	NS	13.6	11.3	0.496	A	0.082	9.684	18.040	1	0	0	0	0	0	0	0	0	0	0
73	NS	14.8	11.6	0.492	B	0.099	9.849	13.770	0	0	0	0	0	1	1	0	0	1	0
74	NS	16.6	12.1	0.486	A	0.127	9.709	9.790	0	0	0	0	0	0	0	0	0	0	0
75	BI	6.1	7.2	0.509	B	0.011	8.936	8.010	1	1	1	1	1	0	1	1	1	1	0
76	NS	7.5	9.0	0.527	B	0.021	9.940	7.770	0	1	1	1	1	1	1	1	0	1	1
77	BI	5.2	8.7	0.529	B	0.010	10.256	6.680	0	1	1	0	1	1	1	1	1	1	1
78	NS	7.5	9.0	0.527	C	0.021	9.971	5.690	0	0	1	1	1	1	0	0	1	0	1
79	NS	8.4	9.5	0.520	A	0.027	10.102	3.680	0	0	1	1	0	0	0	1	0	0	0
81	NS	6.4	8.4	0.537	B	0.015	10.131	1.780	1	1	1	1	1	1	1	1	1	1	1
82	NS	6.5	8.5	0.536	B	0.015	10.034	1.540	0	1	1	1	1	1	1	1	0	1	1
83	NS	15.0	11.7	0.491	B	0.102	12.089	1.220	0	0	0	0	0	0	0	1	0	0	0
84	NS	8.4	9.5	0.520	B	0.027	12.160	3.030	1	1	1	1	1	1	1	1	1	1	1
85	NS	11.5	10.7	0.504	B	0.056	12.057	3.220	0	0	0	1	1	0	0	1	0	0	0
88	NS	16.6	12.1	0.486	A	0.127	11.999	6.860	0	1	0	0	0	0	0	0	0	0	0
90	NS	18.0	12.4	0.482	B	0.152	11.745	10.280	0	0	0	0	0	0	0	0	0	0	0
91	NS	13.9	11.4	0.495	B	0.086	11.909	12.570	0	1	0	0	0	1	1	1	0	1	1
92	EL	24.8	13.7	0.443	C	0.293	11.194	13.500	1	0	0	0	1	0	0	0	1	0	0
93	NS	6.1	8.2	0.541	B	0.013	11.884	14.090	0	1	1	1	1	0	1	1	1	1	1
94	NS	11.6	10.7	0.504	B	0.057	11.657	15.830	0	1	1	0	0	0	1	1	1	1	1
95	NS	12.8	11.1	0.499	A	0.071	11.537	17.070	0	0	1	0	0	0	0	0	1	0	0
96	NS	15.0	11.7	0.491	C	0.102	11.804	19.160	1	1	1	1	1	1	0	1	1	1	1
97	NS	13.8	11.4	0.496	A	0.084	11.793	19.870	0	0	0	0	0	0	1	0	0	0	0
99	NS	11.2	10.6	0.506	A	0.053	11.732	23.710	0	0	0	0	0	0	0	0	0	0	1
100	NS	6.9	8.7	0.532	C	0.017	11.599	25.750	1	1	1	1	1	1	1	0	1	1	1
101	NS	10.0	10.1	0.511	B	0.041	11.697	25.880	0	1	0	1	1	1	1	1	0	1	0
102	NS	18.5	12.5	0.480	A	0.161	11.669	27.680	0	0	0	0	0	0	0	0	0	0	0
103	NS	12.8	11.1	0.499	B	0.071	11.607	31.560	0	0	0	0	0	0	0	0	0	0	0
104	NS	7.9	9.2	0.524	A	0.024	11.572	33.760	1	1	1	1	1	1	1	1	1	1	1
105	NS	10.0	10.1	0.511	A	0.041	11.342	35.690	0	1	1	0	1	0	0	0	0	0	0
106	NS	12.2	10.9	0.502	B	0.064	12.851	35.860	0	0	1	0	0	0	1	1	1	0	0
107	NS	16.9	12.2	0.485	A	0.132	12.963	33.980	0	0	0	0	0	0	0	0	0	0	0
108	NS	15.0	11.7	0.491	B	0.102	13.065	32.270	0	0	0	0	0	0	1	0	0	0	0
109	NS	12.4	11.0	0.501	C	0.066	13.176	30.400	1	1	0	1	1	0	1	1	1	0	1
110	NS	6.1	8.2	0.541	A	0.013	13.285	28.570	0	1	1	1	1	0	1	1	0	0	1
111	NS	11.1	10.5	0.506	A	0.052	13.400	26.650	0	0	1	0	0	0	1	1	1	1	1
112	NS	11.5	10.7	0.504	A	0.056	13.911	24.790	0	1	1	0	0	0	1	0	1	0	0
114	NS	13.2	11.2	0.498	B	0.076	13.647	22.510	0	0	0	0	0	0	0	0	0	0	0
115	NS	13.4	11.3	0.497	B	0.079	13.937	19.320	0	0	0	0	0	0	0	0	0	0	0
116	NS	12.2	10.9	0.502	C	0.064	13.973	17.050	0	1	1	1	1	0	0	1	1	1	1
117	NS	9.6	10.0	0.513	C	0.037	14.356	15.660	1	1	1	1	1	0	1	1	1	1	1
118	NS	10.5	10.3	0.509	B	0.045	14.088	15.120	0	1	1	0	0	0	1	1	0	0	0
119	NS	8.5	9.5	0.520	A	0.028	14.270	13.750	0	1	0	0	1	1	1	0	1	0	1
120	NS	14.7	11.6	0.493	B	0.097	14.555	12.310	0	0	0	0	0	0	0	0	0	0	0
121	BI	6.4	8.3	0.507	C	0.014	14.786	11.800	0	0	0	0	0	1	0	1	0	0	1
122	NS	6.2	8.3	0.540	C	0.014	15.454	8.990	0	1	1	1	1	1	1	1	1	1	1
123	BI	6.6	10.3	0.513	A	0.018	15.677	8.590	0	1	1	1	0	0	1	1	0	0	1
124	NS	13.6	11.3	0.496	A	0.082	15.747	7.430	0	0	0	0	0	0	0	0	0	0	0
125	DF	16.1	14.7	0.519	B	0.155	15.155	5.610	0	0	0	1	0	0	0	0	0	0	0
126	NS	9.1	9.8	0.516	B	0.033	14.865	5.440	1	1	1	1	1	1	1	0	1	1	1
127	NS	12.1	10.9	0.502	A	0.063	14.835	4.280	1	1	0	0	1	1	1	1	1	0	1
128	NS	17.7	12.3	0.483	C	0.146	14.425	2.770	0	0	0	0	0	0	0	0	0	0	0
130	NS	12.3	10.9	0.501	A	0.065	16.507	3.140	0	0	0	0	0	0	1	1	1	0	1
131	SP	12.2	10.7	0.526	B	0.066	17.086	3.530	1	0	1	1	1	1	1	1	1	1	0
132	NS	13.8	11.4	0.496	B	0.084	16.902	5.080	0	0	0	0	0	0	0	0	0	0	0
