Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	AG	AP	DDB	DL	JL	KT	NH	PO	RR	SK	SN
2	NS	13.7	13.5	0.520	A	0.103	3.500	2.370	0	0	1	0	0	0	0	0	1	0	0
3	NS	20.7	15.7	0.504	A	0.266	3.388	4.410	1	1	0	1	1	0	0	0	0	0	0
5	NS	11.6	12.6	0.525	B	0.070	3.370	7.800	0	1	1	1	0	1	1	1	1	0	0
6	BI	6.8	12.5	0.523	C	0.024	4.512	9.190	0	0	0	0	0	0	0	0	0	0	0
7	NS	17.4	14.8	0.512	A	0.180	3.060	9.600	0	0	0	0	0	0	0	0	0	0	0
8	NS	15.8	14.2	0.516	C	0.144	3.238	13.460	0	0	0	1	0	0	0	0	0	0	0
9	NS	14.2	13.7	0.519	A	0.112	3.030	15.080	1	1	1	1	1	0	0	0	1	1	1
10	NS	9.5	11.5	0.531	C	0.043	3.070	16.770	0	0	0	0	0	0	0	0	0	0	0
11	BI	8.9	12.3	0.494	C	0.038	2.813	18.160	0	0	0	0	0	0	0	0	0	0	0
12	NS	14.0	13.6	0.520	C	0.109	3.209	18.850	0	0	0	0	0	0	0	0	0	0	0
13	NS	15.8	14.2	0.516	C	0.144	3.288	22.700	0	0	0	0	0	0	0	1	0	0	0
14	NS	7.2	10.0	0.540	A	0.022	3.077	24.600	0	0	0	0	0	0	0	0	0	0	0
15	NS	18.1	15.0	0.510	A	0.197	3.267	26.440	0	0	0	0	0	1	1	0	0	0	0
16	NS	9.1	11.3	0.532	B	0.039	3.258	28.100	0	0	0	0	0	0	0	0	1	0	0
17	NS	18.8	15.2	0.508	B	0.214	3.036	32.100	0	0	0	0	0	0	0	0	0	0	0
19	NS	7.5	10.2	0.538	B	0.024	5.370	36.260	0	0	0	0	0	0	0	0	0	0	0
20	NS	18.6	15.1	0.509	B	0.209	5.228	35.940	0	0	0	0	0	0	0	0	0	0	1
21	NS	16.4	14.4	0.514	A	0.157	5.174	34.100	1	0	0	0	0	1	1	1	0	0	0
22	NS	14.5	13.8	0.518	C	0.118	5.226	32.030	1	0	0	0	0	1	0	1	0	1	1
23	NS	10.0	11.8	0.529	A	0.049	5.280	29.900	0	0	0	0	0	0	0	0	1	0	0
24	NS	21.0	15.8	0.503	B	0.275	5.422	28.220	0	0	0	0	0	0	0	1	0	0	0
25	NS	11.8	12.7	0.525	B	0.073	5.370	26.310	0	0	0	0	0	1	0	1	1	0	0
26	NS	10.0	11.8	0.529	B	0.049	5.559	22.800	0	0	0	0	0	0	0	0	0	0	0
27	NS	7.9	10.5	0.536	B	0.028	5.564	22.600	0	0	0	0	0	0	0	0	0	0	0
28	NS	22.9	16.2	0.498	B	0.333	5.701	21.100	0	1	1	1	1	0	0	1	0	1	0
30	NS	18.4	15.1	0.509	A	0.204	5.647	15.320	0	0	0	0	0	0	1	0	0	0	0
31	NS	11.4	12.5	0.526	A	0.067	5.697	13.340	1	0	0	0	0	0	0	1	1	0	0
32	BI	6.6	10.5	0.514	C	0.018	5.511	10.770	0	0	0	0	0	0	0	0	0	0	0
34	NS	16.2	14.4	0.515	C	0.153	5.795	9.450	0	0	1	0	0	1	0	1	1	1	0
35	NS	19.5	15.4	0.507	C	0.233	5.846	7.400	1	1	1	1	1	1	1	1	0	0	0
36	NS	17.3	14.7	0.512	A	0.177	5.993	5.540	0	0	0	0	0	0	0	0	1	0	0
38	BI	9.6	14.1	0.495	C	0.051	6.089	1.730	0	0	0	1	0	0	0	0	0	0	0
39	NS	17.9	14.9	0.511	A	0.192	7.994	1.540	0	0	0	0	0	0	0	0	0	0	0
40	BI	7.5	13.8	0.519	A	0.032	8.351	3.270	0	0	0	0	0	0	1	1	0	0	0
41	NS	12.4	12.9	0.523	A	0.082	7.956	3.070	0	0	0	0	0	0	1	1	0	0	0
42	NS	15.1	14.0	0.517	A	0.130	7.968	6.640	1	0	0	0	0	0	0	0	0	0	0
43	NS	15.9	14.3	0.515	B	0.146	7.538	7.840	0	0	0	0	0	1	0	1	0	0	1
44	NS	5.4	8.5	0.554	B	0.011	7.697	9.490	0	0	0	0	0	0	0	0	0	0	0
45	NS	6.2	9.2	0.546	B	0.015	7.649	11.410	0	0	0	0	0	0	0	0	0	0	0
46	NS	10.2	11.9	0.529	B	0.051	7.745	11.560	0	0	0	0	0	0	0	0	0	0	0
47	NS	8.0	10.6	0.536	B	0.029	7.690	13.780	0	0	1	0	0	0	1	1	0	0	1
48	NS	17.2	14.7	0.512	B	0.175	7.687	13.920	1	1	1	1	1	0	1	1	0	1	1
49	NS	10.7	12.2	0.527	C	0.058	7.639	15.860	0	0	0	0	0	0	0	1	0	0	0
50	NS	13.3	13.3	0.521	A	0.096	7.602	17.340	0	0	0	0	0	0	0	1	0	0	0
51	NS	7.3	10.1	0.539	C	0.023	7.730	20.250	0	0	0	0	0	0	0	0	0	0	0
53	NS	9.0	11.2	0.532	B	0.038	7.791	21.820	0	0	0	0	0	0	0	0	0	0	0
55	NS	26.7	17.1	0.487	A	0.465	7.440	23.880	0	0	0	0	0	0	0	0	0	0	0
56	NS	12.9	13.2	0.522	C	0.090	7.383	26.170	1	0	0	0	0	1	0	1	0	0	0
57	NS	16.6	14.5	0.514	B	0.161	7.348	27.580	1	0	0	0	1	1	0	0	1	0	0
58	NS	12.0	12.8	0.524	B	0.076	7.339	27.920	1	0	0	0	1	0	0	0	1	0	0
60	NS	16.6	14.5	0.514	A	0.161	7.230	32.320	0	1	1	0	0	0	0	0	0	0	0
61	BI	9.1	10.8	0.487	B	0.034	8.431	32.280	0	0	0	0	0	0	0	0	0	0	0
63	NS	7.3	10.1	0.539	A	0.023	7.683	34.230	0	0	0	0	0	0	0	0	0	0	0
