Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	AJ	Alex	DS	HM	IM	JH	JR	TN
1	SS	11.5	10.3	0.500	A	0.053	2.049	1.050	0	1	0	1	0	1	0	0
2	SS	14.6	11.5	0.492	A	0.095	3.281	1.649	1	0	0	0	0	0	0	0
3	SS	9.1	9.1	0.509	C	0.030	3.137	2.689	0	1	0	0	0	0	0	0
4	SS	7.1	7.7	0.524	A	0.016	3.642	4.648	0	1	0	0	0	0	0	0
5	SS	10.7	9.9	0.503	A	0.045	2.792	5.577	0	1	0	0	0	0	0	0
6	SS	13.7	11.2	0.494	A	0.082	2.879	9.075	1	0	0	0	0	0	0	0
7	SS	12.1	10.6	0.499	B	0.061	3.488	11.114	0	1	0	0	0	0	0	0
8	SS	10.3	9.7	0.504	A	0.041	3.344	12.164	0	1	0	1	0	0	0	0
9	SS	16.9	12.3	0.487	B	0.135	3.351	14.172	1	0	0	1	0	0	1	1
10	SS	8.0	8.4	0.516	A	0.022	3.849	16.001	0	0	0	0	1	0	0	0
11	SS	15.5	11.9	0.490	A	0.110	3.767	18.200	0	0	0	0	0	1	0	0
12	SS	9.7	9.4	0.507	A	0.035	3.800	20.689	0	0	0	0	1	0	0	0
13	SS	12.4	10.7	0.498	A	0.064	3.871	22.028	0	0	0	0	0	0	0	0
14	SS	6.0	6.9	0.540	B	0.010	3.856	23.607	0	0	0	0	0	0	0	0
15	SS	8.7	8.8	0.511	B	0.027	3.747	25.316	0	0	0	0	0	0	0	0
16	SS	7.6	8.1	0.519	A	0.019	4.219	26.666	0	0	0	0	0	0	0	0
17	SS	12.7	10.8	0.497	B	0.068	3.424	28.625	0	0	0	1	0	0	0	0
18	SS	8.8	8.9	0.511	B	0.028	4.305	30.134	0	0	0	0	0	0	0	0
19	SS	14.0	11.3	0.494	A	0.086	4.173	31.403	0	0	0	0	0	0	0	0
20	SS	6.7	7.4	0.529	C	0.014	4.481	33.422	0	0	0	0	0	0	0	0
21	SS	7.2	7.8	0.523	C	0.017	4.281	33.422	0	0	0	0	0	0	0	0
22	SS	8.3	8.6	0.514	C	0.024	4.659	34.881	1	0	0	0	0	1	0	1
23	SS	12.5	10.7	0.498	C	0.065	4.464	34.981	1	0	0	1	0	1	0	1
24	SS	17.0	12.3	0.487	A	0.136	4.114	35.910	0	0	0	0	0	0	0	0
25	SS	7.7	8.2	0.518	B	0.020	6.133	34.641	1	0	0	0	0	0	0	0
26	SS	10.0	9.6	0.505	A	0.038	5.561	32.812	0	0	0	0	0	0	0	0
27	SS	12.9	10.9	0.496	A	0.071	5.663	27.785	0	0	0	0	0	0	0	0
28	SS	5.8	6.7	0.545	A	0.010	5.700	26.186	0	0	0	0	0	0	0	0
29	SS	11.4	10.2	0.501	A	0.052	5.799	23.617	1	0	0	0	1	0	1	0
